,sol_tech,orig_benchmark
0,heuristic,cen-if
1,heuristic,act-if
2,heuristic,mval
3,heuristic,lpr
4,heuristic,gdb
5,heuristic,val
6,heuristic,egl
7,heuristic,bmcv
8,exact,tcarp
9,exact,egl
10,exact,val
11,exact,rural
12,heuristic,family
13,exact,gdb
14,exact,mval
15,exact,lpr
16,heuristic,real
17,EA,random
18,exact,bmcv
19,exact,egl-g
20,EA,gdb
21,EA,val
22,EA,egl
23,EA,tw
24,EA,random
25,EA,gdb
26,EA,val
27,EA,bmcv
28,heuristic,gdb
29,heuristic,val
30,heuristic,egl
31,heuristic,a
32,heuristic,b
33,heuristic,val
34,heuristic,egl
35,heuristic,f
36,heuristic,k
37,heuristic,n
38,heuristic,o
39,heuristic,s
40,exact,real
41,heuristic,real
42,heuristic,a
43,heuristic,b
44,heuristic,c
45,heuristic,d
46,heuristic,e
47,heuristic,f
48,heuristic,k
49,heuristic,n
50,heuristic,o
51,heuristic,s
52,heuristic,gdb
53,heuristic,gdb
54,heuristic,val
55,heuristic,egl-g
56,EA,hefei
57,EA,beijing
58,EA,egl-g
59,exact,lpr
60,exact,mval
61,EA,gdb
62,EA,val
63,EA,bmcv
64,EA,egl
65,EA,egl-l
66,EA,mggdb
67,EA,mgval
68,EA,cbmix
69,EA,di-nearp
70,heuristic,gdb
71,heuristic,val
72,EA,gdb
73,EA,val
74,EA,egl-l
75,exact,gdb
76,exact,val
77,exact,egl
78,exact,bmcv
79,exact,egl-g
80,EA,egl-l
81,heuristic,real
82,heuristic,gdb
83,heuristic,kshs
84,heuristic,bmcv
85,heuristic,egl
86,heuristic,mine
87,exact,lpr
88,exact,seix
89,EA,cbmix
90,EA,gdb
91,EA,val
92,EA,egl
93,EA,di-nearp
94,heuristic,cbmix
95,heuristic,gdb
96,heuristic,val
97,heuristic,egl
98,EA,egl
99,EA,bmcv
100,EA,egl-g
101,heuristic,cen-if
102,heuristic,lpr
103,exact,cen-if
104,exact,act-if
105,exact,mval
106,exact,gdb
107,exact,val
108,exact,lpr
109,EA,gdb
110,EA,val
111,EA,egl
112,EA,bmcv
113,EA,egl-g
114,EA,real
115,heuristic,gdb
116,heuristic,gdb
117,heuristic,egl
118,heuristic,val
119,EA,gdb
120,EA,val
121,EA,egl
122,EA,egl-g
123,EA,bmcv
124,heuristic,cen-if
125,heuristic,act-if
126,heuristic,mval
127,heuristic,gdb
128,heuristic,val
129,heuristic,lpr
130,heuristic,gdb
131,heuristic,val
132,exact,egl
133,heuristic,val
134,EA,val
135,EA,gdb
136,EA,val
137,EA,egl
138,exact,egl
139,exact,bmcv
140,exact,egl-g
141,exact,gdb
142,exact,val
143,exact,bmcv
144,EA,egl
145,exact,mval
146,exact,lpr
147,exact,val
148,exact,egl
149,exact,t
150,exact,real
151,exact,cbmix
152,exact,gdb
153,exact,val
154,exact,val
155,exact,egl
156,exact,bmcv
157,exact,alba
158,exact,madri
159,exact,alda
160,exact,mval
161,exact,val
162,heuristic,egl
163,heuristic,gdb
164,heuristic,mval
165,heuristic,altominho
166,EA,gdb
167,heuristic,real
168,exact,gdb
169,exact,val
170,exact,gdb
171,exact,val
172,exact,egl
173,heuristic,gdb
174,heuristic,val
175,heuristic,cbmix
176,EA,gdb
177,EA,jpr
178,exact,val
179,exact,egl
180,exact,bmcv
181,EA,gdb
182,EA,mine
183,EA,gdb
184,EA,val
185,EA,egl
186,EA,egl-g
187,EA,real
188,heuristic,egl-g
189,heuristic,random
190,heuristic,gdb
191,heuristic,val
192,heuristic,egl
193,EA,real
194,heuristic,real
195,EA,gdb
196,EA,val
197,EA,egl
198,heuristic,random
199,heuristic,random
200,exact,egl-g
201,exact,egl
202,exact,bmcv
203,exact,egl-g
204,EA,real
205,exact,gdb
206,exact,val
207,exact,egl
208,exact,gdb
209,exact,val
210,exact,mval
211,exact,di-nearp
212,heuristic,kshs
213,heuristic,gdb
214,heuristic,val
215,heuristic,bmcv
216,EA,gdb
217,EA,val
218,EA,egl
219,exact,gdb
220,exact,val
221,exact,egl
222,exact,cbmix
223,exact,di-nearp
224,EA,bmcv
225,EA,egl
226,EA,tcarp
227,EA,egl
228,EA,gdb
229,EA,val
230,EA,egl
231,EA,inso
232,EA,insp
233,EA,ins
234,EA,gdb
235,EA,val
236,EA,gdb
237,EA,val
238,EA,bmcv
239,EA,random
240,heuristic,gdb
241,heuristic,kshs
242,heuristic,bmcv
243,heuristic,egl
244,heuristic,val
245,heuristic,val
246,heuristic,gdb
247,exact,egl-g
248,heuristic,lpr
249,heuristic,val
250,EA,gdb
251,EA,val
252,EA,egl
253,EA,kshs
254,EA,gdb
255,EA,val
256,EA,egl
257,EA,gdb
258,EA,kshs
259,EA,val
260,EA,egl
261,heuristic,gdb
262,EA,gdb
263,EA,val
264,EA,egl
265,heuristic,egl
266,EA,val
267,EA,egl
268,EA,egl-g
269,heuristic,gdb
270,heuristic,val
271,heuristic,real
272,heuristic,gdb
273,EA,gdb
274,EA,val
275,EA,acvrp
276,heuristic,bmcv
277,exact,val
278,heuristic,gdb
279,heuristic,egl
280,heuristic,val
281,heuristic,egl
282,heuristic,gdb
283,heuristic,kshs
284,heuristic,val
285,heuristic,random
286,heuristic,egl
287,EA,gdb
288,EA,egl
289,heuristic,val
290,EA,egl
291,EA,random
292,EA,real
293,heuristic,bmcv
294,heuristic,real
295,EA,gdb
296,EA,val
297,EA,egl
298,EA,mval
299,EA,lpr
300,EA,gdb
301,EA,bmcv
302,EA,egl
303,EA,val
304,exact,gdb
